Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
"Retrieve the first 20 Task records where count is Director, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""count"": ""Director""}, fields=[""transaction_date"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Task records where count is Director, sorted by status in descending order, starting from the 10th record."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
"Retrieve the first 20 Purchase Order records where status is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""status"": ""Lead""}, fields=[""transaction_date"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",164,Complex,"Can you fetch the first 20 Purchase Order records where status is Lead, sorted by status in descending order, starting from the 10th record."
Find all Sales Order records placed between 2024-01-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""subject"", ""between"", [""2024-01-01"", ""2023-12-31""})",92,Medium,Find all Sales Order records placed between 2024-01-01 and 2023-12-31 (both inclusive).
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
"Retrieve a list of all Expense Claim records where date_submitted is Pending, fetching creation and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""date_submitted"": ""Pending""}, fields=[""creation"", ""creation""], order_by=""creation desc"")",130,Complex,"Can you fetch a list of all Expense Claim records where date_submitted is Pending, fetching creation and creation, sorted by creation in descending order."
Find all Stock Entry records where designation contains Supervisor.,"frappe.get_list(""Stock Entry"", filters={""designation"": [""like"", ""%Supervisor%""]})",81,Medium,Find all Stock Entry records where designation contains Supervisor.
"Retrieve the first 20 Stock Entry records where priority is Manager, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Manager""}, fields=[""status"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",158,Complex,"Can you fetch the first 20 Stock Entry records where priority is Manager, sorted by subject in descending order, starting from the 10th record."
"Retrieve the first 20 Stock Entry records where count is Lead, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""count"": ""Lead""}, fields=[""designation"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Stock Entry records where count is Lead, sorted by subject in descending order, starting from the 10th record."
"Retrieve the first 20 Task records where count is Director, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""count"": ""Director""}, fields=[""status"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",151,Complex,"Can you fetch the first 20 Task records where count is Director, sorted by priority in descending order, starting from the 10th record."
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
"Retrieve a list of all Timesheet records where status is Open, fetching date_submitted and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Timesheet"", filters={""status"": ""Open""}, fields=[""date_submitted"", ""date_submitted""], order_by=""date_submitted desc"")",133,Complex,"Can you fetch a list of all Timesheet records where status is Open, fetching date_submitted and date_submitted, sorted by date_submitted in descending order."
"Retrieve the first 20 Employee records where designation is Supervisor, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""designation"": ""Supervisor""}, fields=[""status"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",179,Complex,"Can you fetch the first 20 Employee records where designation is Supervisor, sorted by transaction_date in descending order, starting from the 10th record."
Get a list of all Shipping Label records.,"frappe.get_list(""Shipping Label"", fields=[""name""])",50,Simple,Can you list all Shipping Label records.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
"Retrieve the first 20 Sales Order records where subject is Manager, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""subject"": ""Manager""}, fields=[""designation"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",180,Complex,"Can you fetch the first 20 Sales Order records where subject is Manager, sorted by transaction_date in descending order, starting from the 10th record."
Get all sales invoices in descending order of creation.,"frappe.get_list(""Sales Invoice"", fields=[""name"", ""customer_name""], order_by=""creation desc"")",92,Medium,Get all sales invoices in descending order of creation.
"Retrieve the first 20 Employee records where status is Lead, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""status"": ""Lead""}, fields=[""subject"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",153,Complex,"Can you fetch the first 20 Employee records where status is Lead, sorted by priority in descending order, starting from the 10th record."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of all Customer Group records.,"frappe.get_list(""Customer Group"", fields=[""name""])",50,Simple,Can you list all Customer Group records.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
"Retrieve a list of all Issue records where date_submitted is Approved, fetching status and subject, sorted by subject in descending order.","frappe.get_list(""Issue"", filters={""date_submitted"": ""Approved""}, fields=[""status"", ""subject""], order_by=""subject desc"")",119,Medium,"Can you fetch a list of all Issue records where date_submitted is Approved, fetching status and subject, sorted by subject in descending order."
"Retrieve the first 20 Sales Order records where subject is Director, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""subject"": ""Director""}, fields=[""priority"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",156,Complex,"Can you fetch the first 20 Sales Order records where subject is Director, sorted by count in descending order, starting from the 10th record."
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
